file,scan_number,mean_laser_current,in_control,mean,max,min,stddev,wavelet_level_0_energy_ratio,wavelet_level_1_energy_ratio,wavelet_level_2_energy_ratio,wavelet_level_3_energy_ratio,wavelet_level_0_entropy,wavelet_level_1_entropy,wavelet_level_2_entropy,wavelet_level_3_entropy,wavelet_level_4_energy_ratio,wavelet_level_5_energy_ratio,wavelet_level_4_entropy,wavelet_level_5_entropy
layer1.csv,0,4508.972972972973,1.0,1108.3783783783783,1289.0,856.0,105.81558444238664,0.9992761885012464,0.00035870528745275557,0.00016302400918422746,0.0002020822021167696,1.9184320316250605,0.9546860475697853,0.6505277736549774,2.258035135800304,,,,
layer1.csv,1,4508.1505376344085,1.0,1388.741935483871,1585.0,1003.0,95.62290444406307,0.9985727982917001,0.0007307886461889688,0.0005105942053816953,0.00014038168502529348,2.3762666505159897,1.442271021444999,2.4961572840606623,2.8720138661690235,3.4331163820555056e-05,1.1106007883330599e-05,3.664469045466596,3.8548193655082814
layer1.csv,2,4512.2796052631575,1.0,1441.1875,1674.0,1086.0,88.11748871497764,0.9989892508080744,0.0007053942129512613,0.000173477258596933,7.234048660367423e-05,2.469628970151441,1.9665015598235485,2.361289318351681,3.1247713185782464,4.188426226424945e-05,1.7652971509564148e-05,3.609394300458898,4.170463649206812
layer1.csv,3,4520.296052631579,1.0,1585.4605263157894,1854.0,1317.0,99.10363937093884,0.9993708139377803,0.0003421540720738021,0.00020526844325133918,5.2315248100554366e-05,2.4761964186126026,1.9605875125948562,2.532402173743867,2.90511074135888,2.0117540498961655e-05,9.3307582949099e-06,3.57358988861036,4.2572434053340995
layer1.csv,4,4526.560655737705,1.0,1530.495081967213,1696.0,1298.0,69.09741858059154,0.999119580185892,0.0006473129733609828,0.000111705957531395,8.631010557127475e-05,2.4794543375516733,1.5637514078623953,2.498863045648864,2.9024088009608167,2.3452511407098596e-05,1.1638266237355202e-05,3.5273132261439475,3.930864203564118
layer1.csv,5,4517.631921824104,1.0,1574.885993485342,1828.0,1228.0,106.76609963762175,0.9995071087806091,0.00028851917606198074,0.00014858198030211057,3.085287121566834e-05,2.465541227900784,1.9364292425069805,2.2642126340397697,3.0692962799719026,1.6128834359577365e-05,8.808357451468975e-06,3.690114833412943,4.148919179979288
layer1.csv,6,4515.437908496732,1.0,1555.6535947712418,1753.0,1259.0,74.78293820487895,0.9995394952954163,0.00019835566017355937,0.00015662249679787606,6.846794850931733e-05,2.4756253371310994,1.5351978190410325,2.435101649809267,3.1222622555225374,2.6507802789778768e-05,1.055079631324839e-05,3.675191169251193,4.172191849422422
layer1.csv,7,4516.57003257329,1.0,1583.3973941368079,1841.0,1259.0,113.76430744276786,0.999187680204174,0.0006205773128086374,0.00011348716194161586,5.2708484587300385e-05,2.467733634492067,1.856637891855993,2.498806745761023,3.0429550133813983,1.757574083925278e-05,7.971095649226912e-06,3.690383945220972,4.269472565322651
layer1.csv,8,4517.2467532467535,1.0,1571.1623376623377,1810.0,1206.0,108.49705069779432,0.9987784452232935,0.0007742127422119714,0.0003361777512441809,7.949548793612893e-05,2.4704304783083315,1.8602726376370193,2.241574080350232,3.000856192251128,2.1646894451582654e-05,1.0021900862368055e-05,3.291310707833286,4.247955945978472
layer1.csv,9,4514.0679611650485,1.0,1581.4271844660195,1828.0,1112.0,108.48413618909507,0.9988633760409579,0.0009751684573776118,7.925355656691833e-05,5.5260116219808736e-05,2.4623593617463797,1.4489911456741869,2.248428715052927,2.878313064693962,1.7803787663873814e-05,9.138041214063542e-06,3.577511924301922,4.122850378517253
